Date,Column1,Quarter,Month,Day
43831,2020,Qtr 1,Jan,Wed
43832,2020,Qtr 1,Jan,Thu
43833,2020,Qtr 1,Jan,Fri
43834,2020,Qtr 1,Jan,Sat
43835,2020,Qtr 1,Jan,Sun
43836,2020,Qtr 1,Jan,Mon
43837,2020,Qtr 1,Jan,Tue
43838,2020,Qtr 1,Jan,Wed
43839,2020,Qtr 1,Jan,Thu
43840,2020,Qtr 1,Jan,Fri
43841,2020,Qtr 1,Jan,Sat
43842,2020,Qtr 1,Jan,Sun
43843,2020,Qtr 1,Jan,Mon
43844,2020,Qtr 1,Jan,Tue
43845,2020,Qtr 1,Jan,Wed
43846,2020,Qtr 1,Jan,Thu
43847,2020,Qtr 1,Jan,Fri
43848,2020,Qtr 1,Jan,Sat
43849,2020,Qtr 1,Jan,Sun
43850,2020,Qtr 1,Jan,Mon
43851,2020,Qtr 1,Jan,Tue
43852,2020,Qtr 1,Jan,Wed
43853,2020,Qtr 1,Jan,Thu
43854,2020,Qtr 1,Jan,Fri
43855,2020,Qtr 1,Jan,Sat
43856,2020,Qtr 1,Jan,Sun
43857,2020,Qtr 1,Jan,Mon
43858,2020,Qtr 1,Jan,Tue
43859,2020,Qtr 1,Jan,Wed
43860,2020,Qtr 1,Jan,Thu
43861,2020,Qtr 1,Jan,Fri
43862,2020,Qtr 1,Feb,Sat
43863,2020,Qtr 1,Feb,Sun
43864,2020,Qtr 1,Feb,Mon
43865,2020,Qtr 1,Feb,Tue
43866,2020,Qtr 1,Feb,Wed
43867,2020,Qtr 1,Feb,Thu
43868,2020,Qtr 1,Feb,Fri
43869,2020,Qtr 1,Feb,Sat
43870,2020,Qtr 1,Feb,Sun
43871,2020,Qtr 1,Feb,Mon
43872,2020,Qtr 1,Feb,Tue
43873,2020,Qtr 1,Feb,Wed
43874,2020,Qtr 1,Feb,Thu
43875,2020,Qtr 1,Feb,Fri
43876,2020,Qtr 1,Feb,Sat
43877,2020,Qtr 1,Feb,Sun
43878,2020,Qtr 1,Feb,Mon
43879,2020,Qtr 1,Feb,Tue
43880,2020,Qtr 1,Feb,Wed
43881,2020,Qtr 1,Feb,Thu
43882,2020,Qtr 1,Feb,Fri
43883,2020,Qtr 1,Feb,Sat
43884,2020,Qtr 1,Feb,Sun
43885,2020,Qtr 1,Feb,Mon
43886,2020,Qtr 1,Feb,Tue
43887,2020,Qtr 1,Feb,Wed
43888,2020,Qtr 1,Feb,Thu
43889,2020,Qtr 1,Feb,Fri
43890,2020,Qtr 1,Mar,Sat
43891,2020,Qtr 1,Mar,Sun
43892,2020,Qtr 1,Mar,Mon
43893,2020,Qtr 1,Mar,Tue
43894,2020,Qtr 1,Mar,Wed
43895,2020,Qtr 1,Mar,Thu
43896,2020,Qtr 1,Mar,Fri
43897,2020,Qtr 1,Mar,Sat
43898,2020,Qtr 1,Mar,Sun
43899,2020,Qtr 1,Mar,Mon
43900,2020,Qtr 1,Mar,Tue
43901,2020,Qtr 1,Mar,Wed
43902,2020,Qtr 1,Mar,Thu
43903,2020,Qtr 1,Mar,Fri
43904,2020,Qtr 1,Mar,Sat
43905,2020,Qtr 1,Mar,Sun
43906,2020,Qtr 1,Mar,Mon
43907,2020,Qtr 1,Mar,Tue
43908,2020,Qtr 1,Mar,Wed
43909,2020,Qtr 1,Mar,Thu
43910,2020,Qtr 1,Mar,Fri
43911,2020,Qtr 1,Mar,Sat
43912,2020,Qtr 1,Mar,Sun
43913,2020,Qtr 1,Mar,Mon
43914,2020,Qtr 1,Mar,Tue
43915,2020,Qtr 1,Mar,Wed
43916,2020,Qtr 1,Mar,Thu
43917,2020,Qtr 1,Mar,Fri
43918,2020,Qtr 1,Mar,Sat
43919,2020,Qtr 1,Mar,Sun
43920,2020,Qtr 1,Mar,Mon
43921,2020,Qtr 2,Apr,Tue
43922,2020,Qtr 2,Apr,Wed
43923,2020,Qtr 2,Apr,Thu
43924,2020,Qtr 2,Apr,Fri
43925,2020,Qtr 2,Apr,Sat
43926,2020,Qtr 2,Apr,Sun
43927,2020,Qtr 2,Apr,Mon
43928,2020,Qtr 2,Apr,Tue
43929,2020,Qtr 2,Apr,Wed
43930,2020,Qtr 2,Apr,Thu
43931,2020,Qtr 2,Apr,Fri
43932,2020,Qtr 2,Apr,Sat
43933,2020,Qtr 2,Apr,Sun
43934,2020,Qtr 2,Apr,Mon
43935,2020,Qtr 2,Apr,Tue
43936,2020,Qtr 2,Apr,Wed
43937,2020,Qtr 2,Apr,Thu
43938,2020,Qtr 2,Apr,Fri
43939,2020,Qtr 2,Apr,Sat
43940,2020,Qtr 2,Apr,Sun
43941,2020,Qtr 2,Apr,Mon
43942,2020,Qtr 2,Apr,Tue
43943,2020,Qtr 2,Apr,Wed
43944,2020,Qtr 2,Apr,Thu
43945,2020,Qtr 2,Apr,Fri
43946,2020,Qtr 2,Apr,Sat
43947,2020,Qtr 2,Apr,Sun
43948,2020,Qtr 2,Apr,Mon
43949,2020,Qtr 2,Apr,Tue
43950,2020,Qtr 2,Apr,Wed
43951,2020,Qtr 2,May,Thu
43952,2020,Qtr 2,May,Fri
43953,2020,Qtr 2,May,Sat
43954,2020,Qtr 2,May,Sun
43955,2020,Qtr 2,May,Mon
43956,2020,Qtr 2,May,Tue
43957,2020,Qtr 2,May,Wed
43958,2020,Qtr 2,May,Thu
43959,2020,Qtr 2,May,Fri
43960,2020,Qtr 2,May,Sat
43961,2020,Qtr 2,May,Sun
43962,2020,Qtr 2,May,Mon
43963,2020,Qtr 2,May,Tue
43964,2020,Qtr 2,May,Wed
43965,2020,Qtr 2,May,Thu
43966,2020,Qtr 2,May,Fri
43967,2020,Qtr 2,May,Sat
43968,2020,Qtr 2,May,Sun
43969,2020,Qtr 2,May,Mon
43970,2020,Qtr 2,May,Tue
43971,2020,Qtr 2,May,Wed
43972,2020,Qtr 2,May,Thu
43973,2020,Qtr 2,May,Fri
43974,2020,Qtr 2,May,Sat
43975,2020,Qtr 2,May,Sun
43976,2020,Qtr 2,May,Mon
43977,2020,Qtr 2,May,Tue
43978,2020,Qtr 2,May,Wed
43979,2020,Qtr 2,May,Thu
43980,2020,Qtr 2,May,Fri
43981,2020,Qtr 2,May,Sat
43982,2020,Qtr 2,Jun,Sun
43983,2020,Qtr 2,Jun,Mon
43984,2020,Qtr 2,Jun,Tue
43985,2020,Qtr 2,Jun,Wed
43986,2020,Qtr 2,Jun,Thu
43987,2020,Qtr 2,Jun,Fri
43988,2020,Qtr 2,Jun,Sat
43989,2020,Qtr 2,Jun,Sun
43990,2020,Qtr 2,Jun,Mon
43991,2020,Qtr 2,Jun,Tue
43992,2020,Qtr 2,Jun,Wed
43993,2020,Qtr 2,Jun,Thu
43994,2020,Qtr 2,Jun,Fri
43995,2020,Qtr 2,Jun,Sat
43996,2020,Qtr 2,Jun,Sun
43997,2020,Qtr 2,Jun,Mon
43998,2020,Qtr 2,Jun,Tue
43999,2020,Qtr 2,Jun,Wed
44000,2020,Qtr 2,Jun,Thu
44001,2020,Qtr 2,Jun,Fri
44002,2020,Qtr 2,Jun,Sat
44003,2020,Qtr 2,Jun,Sun
44004,2020,Qtr 2,Jun,Mon
44005,2020,Qtr 2,Jun,Tue
44006,2020,Qtr 2,Jun,Wed
44007,2020,Qtr 2,Jun,Thu
44008,2020,Qtr 2,Jun,Fri
44009,2020,Qtr 2,Jun,Sat
44010,2020,Qtr 2,Jun,Sun
44011,2020,Qtr 2,Jun,Mon
44012,2020,Qtr 3,Jul,Tue
44013,2020,Qtr 3,Jul,Wed
44014,2020,Qtr 3,Jul,Thu
44015,2020,Qtr 3,Jul,Fri
44016,2020,Qtr 3,Jul,Sat
44017,2020,Qtr 3,Jul,Sun
44018,2020,Qtr 3,Jul,Mon
44019,2020,Qtr 3,Jul,Tue
44020,2020,Qtr 3,Jul,Wed
44021,2020,Qtr 3,Jul,Thu
44022,2020,Qtr 3,Jul,Fri
44023,2020,Qtr 3,Jul,Sat
44024,2020,Qtr 3,Jul,Sun
44025,2020,Qtr 3,Jul,Mon
44026,2020,Qtr 3,Jul,Tue
44027,2020,Qtr 3,Jul,Wed
44028,2020,Qtr 3,Jul,Thu
44029,2020,Qtr 3,Jul,Fri
44030,2020,Qtr 3,Jul,Sat
44031,2020,Qtr 3,Jul,Sun
44032,2020,Qtr 3,Jul,Mon
44033,2020,Qtr 3,Jul,Tue
44034,2020,Qtr 3,Jul,Wed
44035,2020,Qtr 3,Jul,Thu
44036,2020,Qtr 3,Jul,Fri
44037,2020,Qtr 3,Jul,Sat
44038,2020,Qtr 3,Jul,Sun
44039,2020,Qtr 3,Jul,Mon
44040,2020,Qtr 3,Jul,Tue
44041,2020,Qtr 3,Jul,Wed
44042,2020,Qtr 3,Jul,Thu
44043,2020,Qtr 3,Aug,Fri
44044,2020,Qtr 3,Aug,Sat
44045,2020,Qtr 3,Aug,Sun
44046,2020,Qtr 3,Aug,Mon
44047,2020,Qtr 3,Aug,Tue
44048,2020,Qtr 3,Aug,Wed
44049,2020,Qtr 3,Aug,Thu
44050,2020,Qtr 3,Aug,Fri
44051,2020,Qtr 3,Aug,Sat
44052,2020,Qtr 3,Aug,Sun
44053,2020,Qtr 3,Aug,Mon
44054,2020,Qtr 3,Aug,Tue
44055,2020,Qtr 3,Aug,Wed
44056,2020,Qtr 3,Aug,Thu
44057,2020,Qtr 3,Aug,Fri
44058,2020,Qtr 3,Aug,Sat
44059,2020,Qtr 3,Aug,Sun
44060,2020,Qtr 3,Aug,Mon
44061,2020,Qtr 3,Aug,Tue
44062,2020,Qtr 3,Aug,Wed
44063,2020,Qtr 3,Aug,Thu
44064,2020,Qtr 3,Aug,Fri
44065,2020,Qtr 3,Aug,Sat
44066,2020,Qtr 3,Aug,Sun
44067,2020,Qtr 3,Aug,Mon
44068,2020,Qtr 3,Aug,Tue
44069,2020,Qtr 3,Aug,Wed
44070,2020,Qtr 3,Aug,Thu
44071,2020,Qtr 3,Aug,Fri
44072,2020,Qtr 3,Aug,Sat
44073,2020,Qtr 3,Aug,Sun
44074,2020,Qtr 3,Sep,Mon
44075,2020,Qtr 3,Sep,Tue
44076,2020,Qtr 3,Sep,Wed
44077,2020,Qtr 3,Sep,Thu
44078,2020,Qtr 3,Sep,Fri
44079,2020,Qtr 3,Sep,Sat
44080,2020,Qtr 3,Sep,Sun
44081,2020,Qtr 3,Sep,Mon
44082,2020,Qtr 3,Sep,Tue
44083,2020,Qtr 3,Sep,Wed
44084,2020,Qtr 3,Sep,Thu
44085,2020,Qtr 3,Sep,Fri
44086,2020,Qtr 3,Sep,Sat
44087,2020,Qtr 3,Sep,Sun
44088,2020,Qtr 3,Sep,Mon
44089,2020,Qtr 3,Sep,Tue
44090,2020,Qtr 3,Sep,Wed
44091,2020,Qtr 3,Sep,Thu
44092,2020,Qtr 3,Sep,Fri
44093,2020,Qtr 3,Sep,Sat
44094,2020,Qtr 3,Sep,Sun
44095,2020,Qtr 3,Sep,Mon
44096,2020,Qtr 3,Sep,Tue
44097,2020,Qtr 3,Sep,Wed
44098,2020,Qtr 3,Sep,Thu
44099,2020,Qtr 3,Sep,Fri
44100,2020,Qtr 3,Sep,Sat
44101,2020,Qtr 3,Sep,Sun
44102,2020,Qtr 3,Sep,Mon
44103,2020,Qtr 3,Sep,Tue
44104,2020,Qtr 4,Oct,Wed
44105,2020,Qtr 4,Oct,Thu
44106,2020,Qtr 4,Oct,Fri
44107,2020,Qtr 4,Oct,Sat
44108,2020,Qtr 4,Oct,Sun
44109,2020,Qtr 4,Oct,Mon
44110,2020,Qtr 4,Oct,Tue
44111,2020,Qtr 4,Oct,Wed
44112,2020,Qtr 4,Oct,Thu
44113,2020,Qtr 4,Oct,Fri
44114,2020,Qtr 4,Oct,Sat
44115,2020,Qtr 4,Oct,Sun
44116,2020,Qtr 4,Oct,Mon
44117,2020,Qtr 4,Oct,Tue
44118,2020,Qtr 4,Oct,Wed
44119,2020,Qtr 4,Oct,Thu
44120,2020,Qtr 4,Oct,Fri
44121,2020,Qtr 4,Oct,Sat
44122,2020,Qtr 4,Oct,Sun
44123,2020,Qtr 4,Oct,Mon
44124,2020,Qtr 4,Oct,Tue
44125,2020,Qtr 4,Oct,Wed
44126,2020,Qtr 4,Oct,Thu
