Type,Subtype,Rank,Account,SubAccount,ValueType,Account_key
Cash and Cash equivalents at the start of the year,Cash at bank,1,Cash at bank,Cash at bank,Opening_balance,10
Cash and Cash equivalents at the start of the year,Cash at bank,1,Cash at bank,Cash in hand,Opening_balance,20
Cash flows from Operating Activities,Profit before tax,2,Sales,Sales,All_FTP,210
Cash flows from Operating Activities,Profit before tax,2,Sales,Sales Return,All_FTP,220
Cash flows from Operating Activities,Profit before tax,2,Cost of Sales,Cost of Sales,All_FTP,230
Cash flows from Operating Activities,Profit before tax,2,Operating Expenses,Salaries,All_FTP,240
Cash flows from Operating Activities,Profit before tax,2,Operating Expenses,Bad Debt Expense,All_FTP,250
Cash flows from Operating Activities,Profit before tax,2,Operating Expenses,Commissions,All_FTP,260
Cash flows from Operating Activities,Profit before tax,2,Operating Expenses,Conferences,All_FTP,270
Cash flows from Operating Activities,Profit before tax,2,Operating Expenses,Advertisements,All_FTP,280
Cash flows from Operating Activities,Profit before tax,2,Operating Expenses,Travel,All_FTP,290
Cash flows from Operating Activities,Profit before tax,2,Operating Expenses,Entertainment,All_FTP,300
Cash flows from Operating Activities,Profit before tax,2,Operating Expenses,Office Supplies,All_FTP,310
Cash flows from Operating Activities,Profit before tax,2,Operating Expenses,Professional Services,All_FTP,320
Cash flows from Operating Activities,Profit before tax,2,Operating Expenses,Telephone,All_FTP,330
Cash flows from Operating Activities,Profit before tax,2,Operating Expenses,Utilities,All_FTP,340
Cash flows from Operating Activities,Profit before tax,2,Operating Expenses,Other Expenses,All_FTP,350
Cash flows from Operating Activities,Profit before tax,2,Operating Expenses,Rent,All_FTP,360
Cash flows from Operating Activities,Profit before tax,2,Depreciation & Amortization,Vehicles,All_FTP,370
Cash flows from Operating Activities,Profit before tax,2,Depreciation & Amortization,Equipment,All_FTP,380
Cash flows from Operating Activities,Profit before tax,2,Depreciation & Amortization,Furniture and Fixtures,All_FTP,390
Cash flows from Operating Activities,Profit before tax,2,Depreciation & Amortization,Amortization of Intangible Assets,All_FTP,400
Cash flows from Operating Activities,Profit before tax,2,Interest Income,Interest Income,All_FTP,410
Cash flows from Operating Activities,Profit before tax,2,Gain/Loss on Sales of Asset,Gain/Loss on Sales of Asset,All_FTP,420
Cash flows from Operating Activities,Profit before tax,2,Exchange Loss/Gain,Exchange Loss/Gain,All_FTP,430
Cash flows from Operating Activities,Profit before tax,2,Dividend Income,Dividend Income,All_FTP,431
Cash flows from Operating Activities,Profit before tax,2,Interest Expense,Interest Expense,All_FTP,440
